omimId,moi
OMIM:184300,AD
OMIM:184400,AD
OMIM:184450,AD
OMIM:184460,AD
OMIM:184500,AD
OMIM:184510,AD
OMIM:184700,AD
OMIM:184705,AD
OMIM:184840,AD
OMIM:184900,AD
OMIM:185000,AD
OMIM:185020,AD
OMIM:185050,AD
OMIM:185070,AD
OMIM:185200,AD
OMIM:185460,AD
OMIM:185480,AD
OMIM:185500,AD
OMIM:185600,AD
OMIM:185650,AD
OMIM:185700,AD
OMIM:185800,AD
OMIM:185900,AD
OMIM:186000,AD
OMIM:186100,AD
OMIM:186200,AD
OMIM:186300,AD
OMIM:186350,AD
OMIM:186400,AD
OMIM:186500,AD
OMIM:186550,AD
OMIM:186570,AD
OMIM:186575,AD
OMIM:186580,AD
OMIM:186600,AD
OMIM:186700,AD
OMIM:186750,AD
OMIM:186850,AD
OMIM:187000,AD
OMIM:187050,AD
OMIM:187260,AD
OMIM:187300,AD
OMIM:187350,AD
OMIM:187360,AD
OMIM:187370,AD
OMIM:187390,AD
OMIM:187400,AD
OMIM:187500,AD
OMIM:187501,AD
OMIM:187510,AD
OMIM:187550,AD
OMIM:187600,AD
OMIM:187601,AD
OMIM:187750,AD
OMIM:187760,AD
OMIM:187770,AD
OMIM:187800,AD
OMIM:187900,AD;AR
OMIM:187950,AD
OMIM:188000,AD
OMIM:188030,AD
OMIM:188050,AD
OMIM:188055,AD
OMIM:188100,AD
OMIM:188150,AD
OMIM:188201,AD
OMIM:188400,AD
OMIM:188470,AD
OMIM:188550,AD
OMIM:188560,AD
OMIM:188570,AD
OMIM:188580,AD
OMIM:188700,AD
OMIM:188740,AD
OMIM:188800,AD
OMIM:189000,AD
OMIM:189100,AD
OMIM:189150,AD
OMIM:189200,AD
OMIM:189230,AD
OMIM:189490,AD
